Name,AVGReturn,STD,NRoll,TSteps,Epochs,Batch_size
Humanoid-v2,226.3615851871306,0.0,1,1000,1000,64
Humanoid-v2,463.60695626829164,118.11091146793233,5,1000,1000,64
Humanoid-v2,737.9038460685575,378.30486688828626,10,1000,1000,64
Humanoid-v2,811.9649077234026,383.79249284525577,15,1000,1000,64
Humanoid-v2,884.9926488184549,542.1489199729505,20,1000,1000,64
Humanoid-v2,1021.7386655324332,577.9567517525625,25,1000,1000,64
Humanoid-v2,1195.7743297869984,874.6801705428377,50,1000,1000,64
Humanoid-v2,1554.962829079018,1046.174461083795,75,1000,1000,64
Humanoid-v2,1874.4796218355655,1265.3126945901245,100,1000,1000,64
Humanoid-v2,318.75767351063007,111.12997994182909,20,1000,10,64
Humanoid-v2,394.5229352718822,79.33884337053101,20,1000,50,64
Humanoid-v2,463.734189171479,134.96083451907506,20,1000,100,64
Humanoid-v2,682.0972593632271,215.52105127874825,20,1000,500,64
Humanoid-v2,789.0375054735401,280.9301070504513,20,1000,2000,64
Humanoid-v2,1030.0706223886932,585.7558727326993,20,1000,3000,64
Humanoid-v2,1067.9235557318007,772.6481326678289,20,1000,5000,64
Humanoid-v2,974.186962444549,580.9816731537774,20,1000,10000,64
Humanoid-v2,299.60108536846474,31.95605418570932,20,1000,10,32
Humanoid-v2,391.0104022364568,52.92835968271843,20,1000,50,32
Humanoid-v2,394.64875501414906,121.3724446171939,20,1000,100,32
Humanoid-v2,449.3793573092059,165.57020973820678,20,1000,500,32
Humanoid-v2,617.6271877129846,217.34278262745826,20,1000,1000,32
Humanoid-v2,533.7331604898718,269.9749771067899,20,1000,2000,32
Humanoid-v2,596.1384144756219,326.5326339225949,20,1000,3000,32
Humanoid-v2,634.5879447302402,248.10272054728102,20,1000,5000,32
Humanoid-v2,466.56176771860885,179.21592136046885,20,1000,10000,32
