,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-145.82115831415803,36.79750027753814,-225.40724521787047,-101.31971740864391,,
1,0,-25.92942837682107,30.27022172506353,-59.25226622071561,28.669347532657333,1.0257997512817383,0.030719537287950516
2,1,55.21773704541283,8.66755544120161,43.312596763757156,70.14668784275266,0.030482375994324684,0.02002762071788311
3,2,134.5678016257762,11.56944455969712,114.90584309724821,147.15196651488196,0.020347382873296738,0.01484586764127016
4,3,174.41217930303625,42.89967755971859,120.89912546173439,241.42631233833959,0.01899806037545204,0.014428387396037579
5,4,220.05889599640486,27.114482956620247,189.98073050833779,263.83174550973996,0.01281933207064867,0.009882968850433826
6,5,193.75232349460828,19.449550329674903,159.9762189020915,213.70811383833524,0.0122126005589962,0.007286423817276955
7,6,237.97637121675234,29.915942854034732,207.5936686877127,294.26840187040864,0.009974432177841663,0.007181094493716955
8,7,248.10224297676797,62.56032293871184,186.3977809271457,368.81830672304875,0.010905723087489605,0.009029580280184746
9,8,219.814911717701,40.58117093334784,166.97289726153994,274.88091688664514,0.009516661055386066,0.007460225373506546
10,9,250.77372216163985,42.451240870702776,193.72227066627465,301.8336064902618,0.008729411289095879,0.009071205742657185
11,10,274.9619839351772,48.847007162412815,194.2236422376439,346.802180819764,0.009000780060887337,0.007430049125105143
